Store,Category,SalesP,Conversion,StarP,Eficiencia,group,month
Mall Parque Arauco,SalesPBueno,21455.4318,16.07009852,14.30164969,0.09,high,Junio
Mall Parque Arauco,ConversionBueno,21455.4318,16.07009852,14.30164969,0.09,high,Junio
Mall Parque Arauco,StarRegular,21455.4318,16.07009852,14.30164969,0.09,medium,Junio
Mall Parque Arauco,EficienciaRegular,21455.4318,16.07009852,14.30164969,0.09,medium,Junio
Mall Parque Arauco,SalesPBueno,17400.160490000002,15.02806228,11.62021058,0.07,high,Julio
Mall Parque Arauco,ConversionRegular,17400.160490000002,15.02806228,11.62021058,0.07,medium,Julio
Mall Parque Arauco,StarMalo,17400.160490000002,15.02806228,11.62021058,0.07,low,Julio
Mall Parque Arauco,EficienciaBueno,17400.160490000002,15.02806228,11.62021058,0.07,high,Julio
Mall Parque Arauco,SalesPBueno,22606.98605,18.49377049,19.63005824,0.09,high,Agosto
Mall Parque Arauco,ConversionBueno,22606.98605,18.49377049,19.63005824,0.09,high,Agosto
Mall Parque Arauco,StarRegular,22606.98605,18.49377049,19.63005824,0.09,medium,Agosto
Mall Parque Arauco,EficienciaRegular,22606.98605,18.49377049,19.63005824,0.09,medium,Agosto
Mall Parque Arauco,SalesPBueno,23252.31687,20.02740426,18.28291128,0.1,high,Septiembre
Mall Parque Arauco,ConversionBueno,23252.31687,20.02740426,18.28291128,0.1,high,Septiembre
Mall Parque Arauco,StarRegular,23252.31687,20.02740426,18.28291128,0.1,medium,Septiembre
Mall Parque Arauco,EficienciaRegular,23252.31687,20.02740426,18.28291128,0.1,medium,Septiembre
Mall Parque Arauco,SalesPBueno,21814.73303,17.08400763,18.11137214,0.08,high,Octubre
Mall Parque Arauco,ConversionBueno,21814.73303,17.08400763,18.11137214,0.08,high,Octubre
Mall Parque Arauco,StarRegular,21814.73303,17.08400763,18.11137214,0.08,medium,Octubre
Mall Parque Arauco,EficienciaBueno,21814.73303,17.08400763,18.11137214,0.08,high,Octubre
Mall Marina Arauco,SalesPBueno,19766.142190000002,17.56430168,25.51360236,0.15,high,Junio
Mall Marina Arauco,ConversionBueno,19766.142190000002,17.56430168,25.51360236,0.15,high,Junio
Mall Marina Arauco,StarBueno,19766.142190000002,17.56430168,25.51360236,0.15,high,Junio
Mall Marina Arauco,EficienciaRegular,19766.142190000002,17.56430168,25.51360236,0.15,medium,Junio
Mall Marina Arauco,SalesPBueno,25794.0683,20.91197674,24.23438203,0.09,high,Julio
Mall Marina Arauco,ConversionBueno,25794.0683,20.91197674,24.23438203,0.09,high,Julio
Mall Marina Arauco,StarBueno,25794.0683,20.91197674,24.23438203,0.09,high,Julio
Mall Marina Arauco,EficienciaRegular,25794.0683,20.91197674,24.23438203,0.09,medium,Julio
Mall Marina Arauco,SalesPBueno,17383.39995,15.55200893,15.70409772,0.12,high,Agosto
Mall Marina Arauco,ConversionRegular,17383.39995,15.55200893,15.70409772,0.12,medium,Agosto
Mall Marina Arauco,StarRegular,17383.39995,15.55200893,15.70409772,0.12,medium,Agosto
Mall Marina Arauco,EficienciaRegular,17383.39995,15.55200893,15.70409772,0.12,medium,Agosto
Mall Marina Arauco,SalesPRegular,15681.493680000001,15.53252101,15.17834676,0.11,medium,Septiembre
Mall Marina Arauco,ConversionRegular,15681.493680000001,15.53252101,15.17834676,0.11,medium,Septiembre
Mall Marina Arauco,StarRegular,15681.493680000001,15.53252101,15.17834676,0.11,medium,Septiembre
Mall Marina Arauco,EficienciaRegular,15681.493680000001,15.53252101,15.17834676,0.11,medium,Septiembre
Mall Marina Arauco,SalesPRegular,14214.45061,12.55310606,12.079934199999999,0.09,medium,Octubre
Mall Marina Arauco,ConversionRegular,14214.45061,12.55310606,12.079934199999999,0.09,medium,Octubre
Mall Marina Arauco,StarMalo,14214.45061,12.55310606,12.079934199999999,0.09,low,Octubre
Mall Marina Arauco,EficienciaRegular,14214.45061,12.55310606,12.079934199999999,0.09,medium,Octubre
Mall Rancagua,SalesPRegular,7568.420865000001,10.83715116,14.12609196,0.15,medium,Junio
Mall Rancagua,ConversionRegular,7568.420865000001,10.83715116,14.12609196,0.15,medium,Junio
Mall Rancagua,StarRegular,7568.420865000001,10.83715116,14.12609196,0.15,medium,Junio
Mall Rancagua,EficienciaRegular,7568.420865000001,10.83715116,14.12609196,0.15,medium,Junio
Mall Rancagua,SalesPRegular,7998.141034,9.911916667,12.82255673,0.08,medium,Julio
Mall Rancagua,ConversionMalo,7998.141034,9.911916667,12.82255673,0.08,low,Julio
Mall Rancagua,StarRegular,7998.141034,9.911916667,12.82255673,0.08,medium,Julio
Mall Rancagua,EficienciaBueno,7998.141034,9.911916667,12.82255673,0.08,high,Julio
Mall Rancagua,SalesPRegular,8473.805097,11.03,15.23028601,0.12,medium,Agosto
Mall Rancagua,ConversionRegular,8473.805097,11.03,15.23028601,0.12,medium,Agosto
Mall Rancagua,StarRegular,8473.805097,11.03,15.23028601,0.12,medium,Agosto
Mall Rancagua,EficienciaRegular,8473.805097,11.03,15.23028601,0.12,medium,Agosto
Mall Rancagua,SalesPRegular,7905.62566,11.86031111,12.36853031,0.11,medium,Septiembre
Mall Rancagua,ConversionRegular,7905.62566,11.86031111,12.36853031,0.11,medium,Septiembre
Mall Rancagua,StarMalo,7905.62566,11.86031111,12.36853031,0.11,low,Septiembre
Mall Rancagua,EficienciaRegular,7905.62566,11.86031111,12.36853031,0.11,medium,Septiembre
Mall Rancagua,SalesPRegular,8913.351095,12.30896552,12.42451113,0.11,medium,Octubre
Mall Rancagua,ConversionRegular,8913.351095,12.30896552,12.42451113,0.11,medium,Octubre
Mall Rancagua,StarMalo,8913.351095,12.30896552,12.42451113,0.11,low,Octubre
Mall Rancagua,EficienciaRegular,8913.351095,12.30896552,12.42451113,0.11,medium,Octubre
Jumbo Rancagua,SalesPRegular,16978.05409,16.22265734,25.65639257,0.19,medium,Junio
Jumbo Rancagua,ConversionBueno,16978.05409,16.22265734,25.65639257,0.19,high,Junio
Jumbo Rancagua,StarBueno,16978.05409,16.22265734,25.65639257,0.19,high,Junio
Jumbo Rancagua,EficienciaRegular,16978.05409,16.22265734,25.65639257,0.19,medium,Junio
Jumbo Rancagua,SalesPRegular,16332.73004,14.93961722,21.07306711,0.11,medium,Julio
Jumbo Rancagua,ConversionRegular,16332.73004,14.93961722,21.07306711,0.11,medium,Julio
Jumbo Rancagua,StarBueno,16332.73004,14.93961722,21.07306711,0.11,high,Julio
Jumbo Rancagua,EficienciaRegular,16332.73004,14.93961722,21.07306711,0.11,medium,Julio
Jumbo Rancagua,SalesPBueno,18956.78592,18.09385542,26.17159725,0.13,high,Agosto
Jumbo Rancagua,ConversionBueno,18956.78592,18.09385542,26.17159725,0.13,high,Agosto
Jumbo Rancagua,StarBueno,18956.78592,18.09385542,26.17159725,0.13,high,Agosto
Jumbo Rancagua,EficienciaRegular,18956.78592,18.09385542,26.17159725,0.13,medium,Agosto
Jumbo Rancagua,SalesPBueno,18590.98231,19.07639344,21.76751767,0.13,high,Septiembre
Jumbo Rancagua,ConversionBueno,18590.98231,19.07639344,21.76751767,0.13,high,Septiembre
Jumbo Rancagua,StarBueno,18590.98231,19.07639344,21.76751767,0.13,high,Septiembre
Jumbo Rancagua,EficienciaRegular,18590.98231,19.07639344,21.76751767,0.13,medium,Septiembre
Jumbo Rancagua,SalesPRegular,14524.201169999998,15.55180412,23.86167942,0.15,medium,Octubre
Jumbo Rancagua,ConversionRegular,14524.201169999998,15.55180412,23.86167942,0.15,medium,Octubre
Jumbo Rancagua,StarBueno,14524.201169999998,15.55180412,23.86167942,0.15,high,Octubre
Jumbo Rancagua,EficienciaRegular,14524.201169999998,15.55180412,23.86167942,0.15,medium,Octubre
Mall Plaza La Serena,SalesPRegular,10338.29061,10.43041176,11.89946434,0.19,medium,Junio
Mall Plaza La Serena,ConversionMalo,10338.29061,10.43041176,11.89946434,0.19,low,Junio
Mall Plaza La Serena,StarMalo,10338.29061,10.43041176,11.89946434,0.19,low,Junio
Mall Plaza La Serena,EficienciaRegular,10338.29061,10.43041176,11.89946434,0.19,medium,Junio
Mall Plaza La Serena,SalesPRegular,11609.30477,11.80740586,12.21761836,0.1,medium,Julio
Mall Plaza La Serena,ConversionRegular,11609.30477,11.80740586,12.21761836,0.1,medium,Julio
Mall Plaza La Serena,StarMalo,11609.30477,11.80740586,12.21761836,0.1,low,Julio
Mall Plaza La Serena,EficienciaRegular,11609.30477,11.80740586,12.21761836,0.1,medium,Julio
Mall Plaza La Serena,SalesPRegular,9227.112661,9.770779221,14.62134378,0.13,medium,Agosto
Mall Plaza La Serena,ConversionMalo,9227.112661,9.770779221,14.62134378,0.13,low,Agosto
Mall Plaza La Serena,StarRegular,9227.112661,9.770779221,14.62134378,0.13,medium,Agosto
Mall Plaza La Serena,EficienciaRegular,9227.112661,9.770779221,14.62134378,0.13,medium,Agosto
Mall Plaza La Serena,SalesPRegular,9433.464808,10.3644843,12.22173376,0.15,medium,Septiembre
Mall Plaza La Serena,ConversionMalo,9433.464808,10.3644843,12.22173376,0.15,low,Septiembre
Mall Plaza La Serena,StarMalo,9433.464808,10.3644843,12.22173376,0.15,low,Septiembre
Mall Plaza La Serena,EficienciaRegular,9433.464808,10.3644843,12.22173376,0.15,medium,Septiembre
Mall Plaza La Serena,SalesPRegular,7447.094105,8.840795455,8.960075456,0.13,medium,Octubre
Mall Plaza La Serena,ConversionMalo,7447.094105,8.840795455,8.960075456,0.13,low,Octubre
Mall Plaza La Serena,StarMalo,7447.094105,8.840795455,8.960075456,0.13,low,Octubre
Mall Plaza La Serena,EficienciaRegular,7447.094105,8.840795455,8.960075456,0.13,medium,Octubre
Mall Plaza Vespucio,SalesPRegular,10837.95585,10.96505435,13.26146724,0.16,medium,Junio
Mall Plaza Vespucio,ConversionRegular,10837.95585,10.96505435,13.26146724,0.16,medium,Junio
Mall Plaza Vespucio,StarRegular,10837.95585,10.96505435,13.26146724,0.16,medium,Junio
Mall Plaza Vespucio,EficienciaRegular,10837.95585,10.96505435,13.26146724,0.16,medium,Junio
Mall Plaza Vespucio,SalesPRegular,11596.228490000001,12.51506993,13.75021101,0.09,medium,Julio
Mall Plaza Vespucio,ConversionRegular,11596.228490000001,12.51506993,13.75021101,0.09,medium,Julio
Mall Plaza Vespucio,StarRegular,11596.228490000001,12.51506993,13.75021101,0.09,medium,Julio
Mall Plaza Vespucio,EficienciaRegular,11596.228490000001,12.51506993,13.75021101,0.09,medium,Julio
